user_id,song_id,is_favorite,is_added_to_playlist,listen_count
1,8,False,False,0
1,9,False,False,0
1,10,False,False,0
1,11,False,False,0
1,12,False,False,0
1,13,False,False,0
1,15,False,False,0
1,16,False,False,0
1,17,False,False,0
1,18,False,False,0
6,8,False,False,0
6,9,False,False,0
6,10,False,False,0
6,11,False,False,0
6,12,False,False,0
6,13,True,True,1
6,15,False,False,0
6,16,False,False,0
6,17,False,False,0
6,18,False,False,1
24,8,False,False,0
24,9,False,False,0
24,10,False,False,0
24,11,False,False,0
24,12,False,False,0
24,13,False,False,0
24,15,False,False,0
24,16,False,False,0
24,17,False,False,0
24,18,False,False,0
35,8,False,False,0
35,9,True,True,1
35,10,False,False,0
35,11,False,False,0
35,12,False,True,2
35,13,False,False,0
35,15,False,False,0
35,16,False,False,0
35,17,True,True,2
35,18,False,False,0
39,8,False,False,1
39,9,True,True,2
39,10,False,False,0
39,11,True,True,2
39,12,True,True,1
39,13,False,False,0
39,15,False,False,0
39,16,False,False,0
39,17,False,False,0
39,18,False,False,0
1,29,False,True,1
6,29,False,False,0
24,29,False,False,0
35,29,False,False,0
39,29,False,False,0
1,30,True,True,3
6,30,False,False,0
24,30,False,False,0
35,30,False,False,0
39,30,False,False,0
1,34,False,True,1
6,34,False,False,0
24,34,False,False,0
35,34,False,False,0
39,34,False,False,0
1,39,False,False,0
6,39,False,False,0
24,39,False,False,0
35,39,False,False,0
39,39,False,False,0
1,40,False,False,0
6,40,False,False,0
24,40,False,False,0
35,40,False,False,0
39,40,False,False,0
1,41,False,False,0
6,41,False,False,0
24,41,False,False,0
35,41,False,False,0
39,41,False,False,0
1,42,False,False,0
6,42,False,False,0
24,42,False,False,0
35,42,False,False,0
39,42,False,False,0
1,43,False,False,0
6,43,False,False,0
24,43,False,False,0
35,43,True,True,6
39,43,False,True,3
44,8,False,False,0
44,9,False,False,0
44,10,False,False,0
44,11,False,False,0
44,12,False,False,0
44,13,False,False,0
44,15,True,True,1
44,16,False,False,0
44,17,False,False,0
44,18,False,False,0
44,29,False,False,1
44,30,True,True,3
44,34,True,True,1
44,39,False,False,0
44,40,False,False,0
44,41,False,False,0
44,42,False,False,0
44,43,False,False,0
1,61,False,False,0
6,61,False,False,0
24,61,False,False,0
35,61,False,False,0
39,61,False,False,0
44,61,False,False,0
1,62,False,False,0
6,62,False,False,0
24,62,False,False,0
35,62,False,False,0
39,62,False,False,0
44,62,False,False,0
1,64,False,False,0
6,64,False,False,0
24,64,False,False,0
35,64,False,False,0
39,64,False,False,1
44,64,False,False,0
1,65,False,False,0
6,65,False,False,0
24,65,False,False,0
35,65,False,False,0
39,65,False,False,0
44,65,False,False,0
46,8,False,False,0
46,9,False,False,0
46,10,False,False,0
46,11,False,False,0
46,12,False,False,0
46,13,False,False,0
46,15,False,False,0
46,16,False,False,0
46,17,False,False,0
46,18,False,False,0
46,29,False,False,0
46,30,False,False,0
46,34,False,False,0
46,39,True,True,3
46,40,False,False,0
46,41,True,True,1
46,42,True,True,1
46,43,True,True,2
46,61,False,False,0
46,62,False,False,0
46,64,False,False,0
46,65,False,False,0
1,70,False,False,0
6,70,False,False,0
24,70,True,True,0
35,70,False,False,0
39,70,False,False,0
44,70,True,True,2
46,70,False,False,0
1,71,False,False,0
6,71,False,False,0
24,71,False,False,0
35,71,False,False,0
39,71,False,False,0
44,71,True,True,1
46,71,False,False,0
1,72,False,False,0
6,72,False,False,0
24,72,False,False,0
35,72,False,False,0
39,72,False,False,0
44,72,False,False,0
46,72,False,False,0
1,73,False,False,0
6,73,False,False,0
24,73,False,False,0
35,73,False,False,0
39,73,False,False,0
44,73,False,False,0
46,73,False,False,0
1,74,False,True,3
6,74,True,True,1
24,74,False,False,0
35,74,True,True,0
39,74,False,False,0
44,74,True,True,1
46,74,False,False,0
1,75,False,False,0
6,75,True,True,1
24,75,False,False,0
35,75,True,False,0
39,75,False,False,0
44,75,False,False,0
46,75,False,False,0
1,76,False,False,0
6,76,False,False,0
24,76,False,False,0
35,76,True,True,1
39,76,False,False,0
44,76,False,False,0
46,76,False,False,0
1,77,False,False,0
6,77,False,False,0
24,77,False,False,0
35,77,False,False,0
39,77,True,True,2
44,77,False,False,0
46,77,False,False,0
1,78,False,False,0
6,78,False,False,0
24,78,False,False,0
35,78,False,False,0
39,78,True,True,1
44,78,False,False,0
46,78,False,False,0
